,item,pick,win,win_rate,pick_rate,score
71,Abyssal Mask,5,4,80.0,0.009571942721494755,0.7657554177195803
72,Dagger,4,2,50.0,0.0076575541771958045,0.3828777088597902
73,Executioners Calling,4,1,25.0,0.0076575541771958045,0.1914388544298951
74,Guinsoos Rageblade,4,2,50.0,0.0076575541771958045,0.3828777088597902
75,Rabadons Deathcap,4,3,75.0,0.0076575541771958045,0.5743165632896854
76,Aegis of the Legion,4,1,25.0,0.0076575541771958045,0.1914388544298951
77,Demonic Embrace,3,3,100.0,0.005743165632896853,0.5743165632896853
78,Nashors Tooth,3,1,33.33333333333333,0.005743165632896853,0.19143885442989506
79,Recurve Bow,3,2,66.66666666666666,0.005743165632896853,0.3828777088597901
80,Evenshroud,3,2,66.66666666666666,0.005743165632896853,0.3828777088597901
81,Kraken Slayer,3,1,33.33333333333333,0.005743165632896853,0.19143885442989506
82,Bramble Vest,3,1,33.33333333333333,0.005743165632896853,0.19143885442989506
83,Randuins Omen,3,3,100.0,0.005743165632896853,0.5743165632896853
84,Seraphs Embrace,3,2,66.66666666666666,0.005743165632896853,0.3828777088597901
85,Elixir of Sorcery,2,1,50.0,0.0038287770885979022,0.1914388544298951
86,Pauldrons of Whiterock,2,1,50.0,0.0038287770885979022,0.1914388544298951
87,Quicksilver Sash,2,1,50.0,0.0038287770885979022,0.1914388544298951
88,Spectres Cowl,2,1,50.0,0.0038287770885979022,0.1914388544298951
89,Commencing Stopwatch,2,2,100.0,0.0038287770885979022,0.3828777088597902
90,Blasting Wand,2,2,100.0,0.0038287770885979022,0.3828777088597902
91,Morellonomicon,2,1,50.0,0.0038287770885979022,0.1914388544298951
92,Long Sword,2,1,50.0,0.0038287770885979022,0.1914388544298951
93,Pickaxe,1,1,100.0,0.0019143885442989511,0.1914388544298951
94,Hearthbound Axe,1,1,100.0,0.0019143885442989511,0.1914388544298951
95,B. F. Sword,1,1,100.0,0.0019143885442989511,0.1914388544298951
96,Elixir of Iron,1,1,100.0,0.0019143885442989511,0.1914388544298951
97,Spirit Visage,1,1,100.0,0.0019143885442989511,0.1914388544298951
98,Serrated Dirk,1,1,100.0,0.0019143885442989511,0.1914388544298951
99,Void Staff,1,1,100.0,0.0019143885442989511,0.1914388544298951
100,Cull,1,1,100.0,0.0019143885442989511,0.1914388544298951
101,Lich Bane,1,1,100.0,0.0019143885442989511,0.1914388544298951
102,Chain Vest,1,1,100.0,0.0019143885442989511,0.1914388544298951
103,Phantom Dancer,1,1,100.0,0.0019143885442989511,0.1914388544298951
