,Champion**Item,picks
191,Draven**The Collector,2757
192,Pyke**Mobility Boots,2755
193,Jinx**Phantom Dancer,2754
194,Jhin**Plated Steelcaps,2744
195,Qiyana**Prowler's Claw,2726
196,Jax**Plated Steelcaps,2721
197,Kaisa**Kraken Slayer,2715
198,LeeSin**Black Cleaver,2691
199,Vayne**Phantom Dancer,2688
200,Graves**Cloak of Agility,2682
201,Vladimir**Sorcerer's Shoes,2679
202,LeeSin**Mercury's Treads,2678
203,Tristana**Berserker's Greaves,2677
204,Irelia**Immortal Shieldbow,2666
205,Fiora**Goredrinker,2663
206,Yuumi**Control Ward,2662
207,Graves**Bloodthirster,2661
208,MissFortune**Berserker's Greaves,2657
209,Jinx**Cloak of Agility,2651
210,Katarina**Nashor's Tooth,2638
211,Sona**Tear of the Goddess,2628
212,Nidalee**Zhonya's Hourglass,2624
213,Vayne**Wit's End,2618
214,Caitlyn**Lord Dominik's Regards,2617
215,Leona**Plated Steelcaps,2615
216,Leblanc**Dark Seal,2613
217,Zoe**Luden's Tempest,2602
218,Khazix**Youmuu's Ghostblade,2587
219,Akali**Zhonya's Hourglass,2576
220,Pyke**Umbral Glaive,2571
221,Karma**Chemtech Putrifier,2560
222,Poppy**Divine Sunderer,2549
223,Viego**Mercury's Treads,2540
224,Jinx**Lord Dominik's Regards,2538
225,Fiora**Ravenous Hydra,2537
226,XinZhao**Sterak's Gage,2530
227,Jhin**Pickaxe,2524
228,Kayn**Ionian Boots of Lucidity,2519
229,Morgana**Shard of True Ice,2518
230,Vex**Zhonya's Hourglass,2505
231,Viego**Wit's End,2502
232,Blitzcrank**Control Ward,2479
233,Graves**Refillable Potion,2475
234,Lux**Dark Seal,2469
235,Zoe**Sorcerer's Shoes,2445
236,Senna**Black Mist Scythe,2443
237,Talon**Serylda's Grudge,2443
238,Karma**Control Ward,2440
239,Ashe**Berserker's Greaves,2429
240,Yuumi**Chemtech Putrifier,2424
241,Jax**Blade of The Ruined King,2423
242,Zilean**Shard of True Ice,2416
243,Jhin**Control Ward,2415
244,Evelynn**Sorcerer's Shoes,2413
245,Zilean**Shurelya's Battlesong,2410
246,Ezreal**Frozen Heart,2394
247,Sett**Sterak's Gage,2383
248,Nautilus**Locket of the Iron Solari,2380
249,Lucian**Doran's Blade,2370
250,Lux**Control Ward,2341
251,Lucian**Kraken Slayer,2332
252,Viego**Sterak's Gage,2324
253,Xayah**Muramana,2323
254,Renekton**Goredrinker,2318
255,Blitzcrank**Locket of the Iron Solari,2316
256,Viktor**Doran's Ring,2315
257,Kaisa**The Collector,2311
258,TwistedFate**Corrupting Potion,2309
259,Xayah**Ionian Boots of Lucidity,2307
260,Qiyana**Eclipse,2306
261,Jhin**B. F. Sword,2305
262,Tristana**Kraken Slayer,2296
263,Akshan**Immortal Shieldbow,2290
264,Aphelios**Infinity Edge,2283
265,Aatrox**Plated Steelcaps,2283
266,Viktor**Zhonya's Hourglass,2268
267,Darius**Plated Steelcaps,2267
268,Kindred**Kraken Slayer,2258
269,Evelynn**Hextech Rocketbelt,2256
270,Janna**Ionian Boots of Lucidity,2247
271,Leblanc**Cosmic Drive,2238
272,Rakan**Kindlegem,2236
273,Kayn**Goredrinker,2229
274,TahmKench**Frostfire Gauntlet,2217
275,Poppy**Plated Steelcaps,2215
276,Katarina**Hextech Rocketbelt,2213
277,Sylas**Doran's Ring,2201
278,Graves**Infinity Edge,2188
279,Morgana**Zhonya's Hourglass,2186
280,Kassadin**Sorcerer's Shoes,2182
281,Nidalee**Hextech Rocketbelt,2182
282,Bard**Locket of the Iron Solari,2181
283,Zed**Serylda's Grudge,2172
284,RekSai**Prowler's Claw,2169
285,Nautilus**Control Ward,2168
286,Zed**Serrated Dirk,2167
287,Lulu**Forbidden Idol,2166
288,Shen**Plated Steelcaps,2156
289,Ziggs**Liandry's Anguish,2146
290,Xerath**Shard of True Ice,2137
291,Karthus**Zhonya's Hourglass,2132
292,Leona**Kindlegem,2128
293,Teemo**Nashor's Tooth,2116
294,MissFortune**The Collector,2114
295,Tryndamere**Navori Quickblades,2093
296,Jinx**B. F. Sword,2087
297,Lulu**Amplifying Tome,2085
298,Ekko**Nashor's Tooth,2085
299,Talon**Serrated Dirk,2082
300,Darius**Sterak's Gage,2080
301,Rumble**Sorcerer's Shoes,2078
302,Zed**Duskblade of Draktharr,2074
303,JarvanIV**Plated Steelcaps,2072
304,TwistedFate**Zhonya's Hourglass,2059
305,Caitlyn**Cloak of Agility,2038
306,Viego**Control Ward,2038
307,Veigar**Everfrost,2037
308,Draven**Infinity Edge,2030
309,Leona**Evenshroud,2027
310,JarvanIV**Sterak's Gage,2023
311,Talon**Serpent's Fang,2022
312,Aphelios**Lord Dominik's Regards,2018
313,Viktor**Shadowflame,2013
314,Renekton**Plated Steelcaps,2008
315,Diana**Sorcerer's Shoes,2004
316,Ashe**Immortal Shieldbow,2002
317,Yuumi**Dark Seal,2001
318,Seraphine**Ionian Boots of Lucidity,1999
319,Qiyana**Serylda's Grudge,1995
320,Vex**Dark Seal,1994
321,Taliyah**Sorcerer's Shoes,1983
322,Vex**Horizon Focus,1979
323,FiddleSticks**Sorcerer's Shoes,1977
324,Ezreal**Caulfield's Warhammer,1976
325,Lux**Zhonya's Hourglass,1976
326,LeeSin**Refillable Potion,1975
327,Xayah**Essence Reaver,1974
328,Irelia**Mercury's Treads,1967
329,Veigar**Sorcerer's Shoes,1967
330,Vex**Corrupting Potion,1964
331,MissFortune**Youmuu's Ghostblade,1957
332,Xayah**Galeforce,1955
333,Ekko**Zhonya's Hourglass,1951
334,Corki**Immortal Shieldbow,1942
335,Lillia**Liandry's Anguish,1936
336,Leona**Mobility Boots,1926
337,Akshan**Berserker's Greaves,1925
338,Graves**Eclipse,1925
339,Pyke**Serrated Dirk,1925
340,Senna**Boots of Swiftness,1923
341,Jayce**Youmuu's Ghostblade,1922
342,Janna**Shurelya's Battlesong,1920
343,Corki**Sorcerer's Shoes,1916
344,Camille**Mercury's Treads,1916
345,Irelia**Wit's End,1913
346,Samira**Plated Steelcaps,1911
347,Aphelios**Cloak of Agility,1910
348,Trundle**Divine Sunderer,1904
349,Kindred**Berserker's Greaves,1900
350,Alistar**Bulwark of the Mountain,1897
351,Lucian**Long Sword,1892
352,Yone**Doran's Shield,1891
353,Kassadin**Seraph's Embrace,1890
354,Yuumi**Forbidden Idol,1882
355,LeeSin**Long Sword,1882
356,Fiora**Doran's Blade,1871
357,Samira**The Collector,1867
358,Brand**Sorcerer's Shoes,1863
359,Twitch**Runaan's Hurricane,1862
360,Viego**Refillable Potion,1861
361,Nautilus**Plated Steelcaps,1861
362,Nidalee**Dark Seal,1860
363,Ryze**Everfrost,1859
364,Katarina**Dark Seal,1855
365,Tristana**Phantom Dancer,1854
366,Jhin**Doran's Blade,1852
367,Jhin**Long Sword,1844
368,Lux**Doran's Ring,1843
369,Xayah**Long Sword,1841
370,Yone**Death's Dance,1838
371,Yone**Cloak of Agility,1832
372,Malphite**Plated Steelcaps,1828
373,Lucian**Cloak of Agility,1826
374,Jhin**Zeal,1824
375,Khazix**Long Sword,1822
376,Gwen**Plated Steelcaps,1822
377,Gwen**Nashor's Tooth,1821
378,Lillia**Zhonya's Hourglass,1819
379,Kayle**Berserker's Greaves,1815
380,Ryze**Seraph's Embrace,1814
381,TahmKench**Plated Steelcaps,1812
382,Kassadin**Zhonya's Hourglass,1806
383,Bard**Control Ward,1806
384,MissFortune**Long Sword,1795
385,MonkeyKing**Divine Sunderer,1789
386,Kassadin**Crown of the Shattered Queen,1788
387,Aphelios**Galeforce,1787
388,Zac**Frostfire Gauntlet,1783
389,Vladimir**Cosmic Drive,1776
390,Twitch**Kraken Slayer,1775
391,Diana**Hextech Rocketbelt,1771
392,Elise**Sorcerer's Shoes,1765
393,Draven**Lord Dominik's Regards,1763
394,Yuumi**Amplifying Tome,1762
395,Lulu**Oblivion Orb,1756
396,Vi**Divine Sunderer,1751
397,Irelia**Goredrinker,1748
398,Zed**Serpent's Fang,1745
399,Gragas**Ionian Boots of Lucidity,1745
400,Zoe**Corrupting Potion,1744
401,Qiyana**Serrated Dirk,1744
402,LeeSin**Ionian Boots of Lucidity,1740
403,Tryndamere**Galeforce,1737
404,Brand**Liandry's Anguish,1731
405,Lux**Needlessly Large Rod,1730
406,Yasuo**Zeal,1729
407,Corki**Muramana,1729
408,Jayce**Plated Steelcaps,1727
409,Camille**Doran's Shield,1726
410,LeeSin**Death's Dance,1712
411,Akali**Dark Seal,1712
412,Khazix**Duskblade of Draktharr,1711
413,Camille**Death's Dance,1708
414,Viktor**Needlessly Large Rod,1706
415,Aatrox**Sterak's Gage,1703
416,Sion**Plated Steelcaps,1697
417,Kayle**Nashor's Tooth,1692
418,Yone**Zeal,1690
419,Kassadin**Dark Seal,1686
420,Jinx**Pickaxe,1680
421,Vladimir**Dark Seal,1678
422,Garen**Berserker's Greaves,1678
423,Riven**Ionian Boots of Lucidity,1659
424,Garen**Stridebreaker,1657
425,MissFortune**Kraken Slayer,1652
426,Lillia**Ionian Boots of Lucidity,1652
427,Akshan**Doran's Blade,1651
428,Yone**B. F. Sword,1651
429,Caitlyn**Stormrazor,1649
430,Zac**Ionian Boots of Lucidity,1647
431,Shen**Doran's Shield,1646
432,Graves**Control Ward,1646
433,Thresh**Ionian Boots of Lucidity,1644
434,Alistar**Mobility Boots,1643
435,Kaisa**Doran's Blade,1642
436,Lucian**Serylda's Grudge,1642
437,Caitlyn**B. F. Sword,1638
438,Riven**Black Cleaver,1637
439,Trundle**Plated Steelcaps,1631
440,Soraka**Control Ward,1629
441,DrMundo**Plated Steelcaps,1628
442,Galio**Zhonya's Hourglass,1627
443,Graves**B. F. Sword,1627
444,Viego**Essence Reaver,1618
445,Draven**Doran's Blade,1612
446,LeeSin**Caulfield's Warhammer,1608
447,Sylas**Fiendish Codex,1601
448,Morgana**Ionian Boots of Lucidity,1597
449,Nami**Forbidden Idol,1597
450,Renekton**Sterak's Gage,1594
451,LeeSin**Ruby Crystal,1592
452,Xerath**Horizon Focus,1581
453,Talon**Edge of Night,1576
454,Viktor**Rabadon's Deathcap,1575
455,Kaisa**Phantom Dancer,1571
456,Orianna**Sorcerer's Shoes,1568
457,Irelia**Death's Dance,1565
458,Nami**Amplifying Tome,1564
459,Gragas**Zhonya's Hourglass,1562
460,Viktor**Luden's Tempest,1557
461,Jax**Sterak's Gage,1545
462,Akshan**Wit's End,1541
463,Viktor**Dark Seal,1539
464,Zed**Refillable Potion,1537
465,Jayce**Serrated Dirk,1535
466,Pyke**Long Sword,1533
467,Leona**Pauldrons of Whiterock,1531
468,Gragas**Sorcerer's Shoes,1526
469,Pyke**Axiom Arc,1525
470,Khazix**Ionian Boots of Lucidity,1524
471,Viego**Long Sword,1522
472,FiddleSticks**Zhonya's Hourglass,1519
473,Galio**Everfrost,1519
474,Kennen**Zhonya's Hourglass,1519
475,Blitzcrank**Kindlegem,1515
476,Talon**Black Cleaver,1513
477,Lulu**Ardent Censer,1513
478,Brand**Shard of True Ice,1511
479,Pyke**Youmuu's Ghostblade,1507
480,LeeSin**Guardian Angel,1503
481,Talon**Refillable Potion,1502
482,Diana**Zhonya's Hourglass,1496
483,Kindred**The Collector,1494
484,Rakan**Chemtech Putrifier,1493
485,Lux**Ionian Boots of Lucidity,1488
486,Ekko**Needlessly Large Rod,1487
487,Camille**Long Sword,1487
488,Qiyana**Serpent's Fang,1485
489,Kaisa**Galeforce,1484
490,Malphite**Frostfire Gauntlet,1478
491,Nidalee**Night Harvester,1476
492,Alistar**Locket of the Iron Solari,1475
493,Ekko**Rabadon's Deathcap,1470
494,TwistedFate**Dark Seal,1470
495,Akshan**Kraken Slayer,1468
496,DrMundo**Frostfire Gauntlet,1466
497,Urgot**Titanic Hydra,1465
498,Nami**Oblivion Orb,1465
499,Katarina**Zhonya's Hourglass,1462
500,Yasuo**Death's Dance,1458
501,Kayn**Youmuu's Ghostblade,1458
502,Lucian**B. F. Sword,1453
503,Hecarim**Plated Steelcaps,1448
504,Zac**Thornmail,1447
505,Camille**Phage,1445
506,Pyke**Control Ward,1441
507,Senna**Kraken Slayer,1435
508,Mordekaiser**Riftmaker,1435
509,Zed**Edge of Night,1431
510,Nautilus**Evenshroud,1431
511,Viego**Death's Dance,1428
512,Zyra**Shard of True Ice,1427
513,Kalista**Immortal Shieldbow,1427
514,Akali**Riftmaker,1421
515,MonkeyKing**Plated Steelcaps,1419
516,Lulu**Moonstone Renewer,1412
517,Gragas**Everfrost,1410
518,Rumble**Hextech Rocketbelt,1408
519,Zyra**Sorcerer's Shoes,1402
520,Urgot**Plated Steelcaps,1401
521,Rell**Bulwark of the Mountain,1400
522,Zoe**Dark Seal,1396
523,Caitlyn**Pickaxe,1396
524,Syndra**Corrupting Potion,1396
525,Akali**Shadowflame,1395
526,MissFortune**Doran's Blade,1395
527,Vayne**Dagger,1390
528,Rengar**Ionian Boots of Lucidity,1388
529,Jax**Mercury's Treads,1386
530,Orianna**Luden's Tempest,1385
531,Jinx**Long Sword,1383
532,Graves**Serrated Dirk,1383
533,Kalista**Berserker's Greaves,1382
534,Alistar**Control Ward,1381
535,Rumble**Zhonya's Hourglass,1379
536,LeeSin**Phage,1379
537,RekSai**Edge of Night,1377
538,Camille**Ruby Crystal,1375
539,Seraphine**Shard of True Ice,1373
540,Blitzcrank**Shurelya's Battlesong,1367
541,Zilean**Control Ward,1366
542,Leblanc**Zhonya's Hourglass,1363
543,Akshan**Plated Steelcaps,1360
544,Jayce**Caulfield's Warhammer,1358
545,Yasuo**Cloak of Agility,1357
546,Rakan**Mercury's Treads,1355
547,Anivia**Sorcerer's Shoes,1344
548,RekSai**Plated Steelcaps,1344
549,Kayn**Long Sword,1344
550,Vi**Sterak's Gage,1342
551,Vi**Plated Steelcaps,1335
552,Rengar**Youmuu's Ghostblade,1332
553,Ezreal**Tear of the Goddess,1330
554,Jayce**Refillable Potion,1330
555,Nunu**Sunfire Aegis,1329
556,Thresh**Ruby Crystal,1329
557,Braum**Locket of the Iron Solari,1329
558,Thresh**Bulwark of the Mountain,1329
559,Lulu**Bandleglass Mirror,1322
560,Janna**Chemtech Putrifier,1321
561,Thresh**Runesteel Spaulders,1321
562,Pyke**Ionian Boots of Lucidity,1320
563,Zed**Axiom Arc,1317
564,Ziggs**Seraph's Embrace,1316
565,Yasuo**B. F. Sword,1314
566,Thresh**Evenshroud,1309
567,Xayah**Serylda's Grudge,1309
568,Annie**Sorcerer's Shoes,1308
569,Fizz**Zhonya's Hourglass,1306
570,Nautilus**Kindlegem,1302
571,Qiyana**Refillable Potion,1302
572,Viktor**Void Staff,1301
573,Kayle**Riftmaker,1295
574,TahmKench**Doran's Shield,1290
575,Ziggs**Doran's Ring,1289
576,Jinx**Refillable Potion,1288
577,Malzahar**Liandry's Anguish,1287
578,Sett**Ruby Crystal,1286
579,Lux**Hextech Alternator,1285
580,Kayn**Muramana,1284
581,Lissandra**Sorcerer's Shoes,1284
582,Karthus**Void Staff,1282
583,Karma**Amplifying Tome,1281
584,Lux**Amplifying Tome,1280
585,Vayne**Long Sword,1278
586,Malphite**Corrupting Potion,1278
587,FiddleSticks**Hextech Rocketbelt,1278
588,Samira**Doran's Blade,1277
589,Tryndamere**Kraken Slayer,1277
590,Jhin**Serrated Dirk,1274
591,Syndra**Zhonya's Hourglass,1274
592,Teemo**Riftmaker,1271
593,Jinx**Control Ward,1270
594,Ornn**Plated Steelcaps,1269
595,Nasus**Divine Sunderer,1266
596,Viktor**Corrupting Potion,1266
597,Talon**Control Ward,1264
598,Shaco**Ionian Boots of Lucidity,1262
599,Lucian**Refillable Potion,1260
600,Akali**Doran's Shield,1257
601,MissFortune**Galeforce,1256
602,Ezreal**Last Whisper,1255
603,Lucian**Pickaxe,1252
604,MissFortune**Serylda's Grudge,1247
605,Lucian**Lord Dominik's Regards,1246
606,Viego**Guardian Angel,1246
607,MissFortune**Lord Dominik's Regards,1245
608,Khazix**Plated Steelcaps,1242
609,Corki**Essence Reaver,1241
610,Yone**Pickaxe,1241
611,Caitlyn**Kraken Slayer,1240
612,Karthus**Dark Seal,1236
613,Leona**Bramble Vest,1236
614,Ahri**Sorcerer's Shoes,1234
615,Vex**Needlessly Large Rod,1234
616,Cassiopeia**Seraph's Embrace,1225
617,Rakan**Shard of True Ice,1223
618,Camille**Pickaxe,1221
619,Camille**Refillable Potion,1219
620,Camille**Ionian Boots of Lucidity,1218
621,Aphelios**B. F. Sword,1215
622,Gwen**Cosmic Drive,1213
623,Taliyah**Luden's Tempest,1211
624,Leona**Mercury's Treads,1210
625,MissFortune**Plated Steelcaps,1206
626,Camille**Titanic Hydra,1204
627,Camille**Trinity Force,1202
628,LeeSin**Eclipse,1199
629,Aphelios**Doran's Blade,1197
630,Sett**Doran's Blade,1197
631,Shaco**Berserker's Greaves,1197
632,Janna**Control Ward,1196
633,Lissandra**Zhonya's Hourglass,1195
634,Talon**Caulfield's Warhammer,1190
635,Zyra**Liandry's Anguish,1190
636,Leblanc**Void Staff,1185
637,Aphelios**Pickaxe,1184
638,Sett**Doran's Shield,1183
639,Gangplank**Ionian Boots of Lucidity,1181
640,Volibear**Divine Sunderer,1179
641,Vladimir**Rabadon's Deathcap,1179
642,Karthus**Rabadon's Deathcap,1173
643,Irelia**Sterak's Gage,1172
644,Shen**Frostfire Gauntlet,1172
645,Jayce**Tear of the Goddess,1170
646,XinZhao**Control Ward,1169
647,Evelynn**Dark Seal,1169
648,Kennen**Void Staff,1168
649,Thresh**Zeke's Convergence,1167
650,Garen**Mortal Reminder,1166
651,Jayce**Doran's Blade,1163
652,Nocturne**Axiom Arc,1162
653,Jax**Wit's End,1157
654,MissFortune**Infinity Edge,1156
655,Leblanc**Needlessly Large Rod,1155
656,Teemo**Doran's Ring,1153
657,Tristana**Infinity Edge,1153
658,Darius**Trinity Force,1153
659,Gwen**Zhonya's Hourglass,1151
660,LeeSin**Pickaxe,1150
661,Hecarim**Ruby Crystal,1149
662,Fizz**Luden's Tempest,1147
663,Teemo**Sorcerer's Shoes,1147
664,Syndra**Dark Seal,1143
665,Poppy**Corrupting Potion,1143
666,Yone**Guardian Angel,1143
667,Thresh**Knight's Vow,1143
668,Zed**Caulfield's Warhammer,1142
669,KogMaw**Berserker's Greaves,1137
670,Khazix**Edge of Night,1137
671,Fizz**Ionian Boots of Lucidity,1134
672,Xerath**Dark Seal,1134
673,Veigar**Rabadon's Deathcap,1133
674,Galio**Dark Seal,1133
675,Gnar**Divine Sunderer,1132
676,TwistedFate**Lich Bane,1132
677,Khazix**Eclipse,1131
678,Khazix**Serrated Dirk,1129
679,MasterYi**Kraken Slayer,1129
680,Caitlyn**Immortal Shieldbow,1128
681,Sona**Chemtech Putrifier,1127
682,Viego**Pickaxe,1126
683,Yasuo**Doran's Shield,1126
684,Nocturne**Stridebreaker,1125
685,Graves**Pickaxe,1124
686,Gangplank**Trinity Force,1123
687,Teemo**Berserker's Greaves,1122
688,MissFortune**Serrated Dirk,1122
689,Irelia**Divine Sunderer,1120
690,Yone**Refillable Potion,1120
691,Cassiopeia**Liandry's Anguish,1118
692,Akshan**The Collector,1118
693,Morgana**Control Ward,1117
694,Camille**Tiamat,1116
695,Warwick**Divine Sunderer,1116
696,Caitlyn**Control Ward,1114
697,Lissandra**Everfrost,1113
698,Sett**Mercury's Treads,1110
699,Seraphine**Moonstone Renewer,1107
700,Graves**Slightly Magical Footwear,1106
701,Jinx**Dagger,1106
702,Evelynn**Rabadon's Deathcap,1105
703,Warwick**Plated Steelcaps,1105
704,Rakan**Targon's Buckler,1104
705,Mordekaiser**Plated Steelcaps,1099
706,XinZhao**Mercury's Treads,1098
707,Karma**Oblivion Orb,1097
708,Sylas**Amplifying Tome,1094
709,Blitzcrank**Targon's Buckler,1092
710,Senna**Rapid Firecannon,1091
711,Yuumi**Oblivion Orb,1090
712,Thresh**Refillable Potion,1089
713,Ryze**Ionian Boots of Lucidity,1083
714,Shen**Bramble Vest,1081
715,Aatrox**Doran's Shield,1079
716,Draven**Essence Reaver,1079
717,Yone**Long Sword,1075
718,Ashe**Wit's End,1073
719,Jayce**Serpent's Fang,1073
720,Pyke**Runesteel Spaulders,1070
721,Soraka**Redemption,1069
722,Yuumi**Luden's Tempest,1069
